"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Home Page","Header Navigation","Header navigation","0","0","8","0","0"
"Home Page","Verticals section","ESports icon behavior in Verticals section","0","0","1","0","0"
"Home Page","Header Navigation","Language selection","0","0","2","0","0"
"Home Page","Other Home Page Tests","Search Section","1","0","4","0","0"
"Affiliate Programs Page","Affiliate Programs Page","All Programs Sidebar","0","0","5","0","0"
"Home Page","Verticals section","Dating icon behavior in Verticals section","0","0","1","0","0"
"Affiliate Programs Page","Affiliate Programs Page","Affiliate Programs Filter Section","0","0","4","0","0"
"Home Page","Verticals section","Betting icon behavior in Verticals section","0","0","1","0","0"
"Home Page","Verticals section","Lottery icon behavior in Verticals section","0","0","1","0","0"
"Home Page","Verticals section","Varticals navigation","0","0","6","0","0"
"Affiliate Programs Page","Affiliate Programs Page","Join Sidebar - New Affiliates","0","0","1","0","0"
"Home Page","Other Home Page Tests","Let's meet section","0","0","2","0","0"
"Home Page","Verticals section","Gambling icon behavior in Verticals section","0","0","1","0","0"
"Home Page","Verticals section","Poker icon behavior in Verticals section","0","0","1","0","0"
"Affiliate Programs Page","Affiliate Programs Page","Affiliate Programs Page Title","0","0","1","0","0"
"Home Page","Other Home Page Tests","Navigation In Round Ellipses Section","2","0","1","0","0"
"Home Page","Other Home Page Tests","Join 3SNet Button","0","0","1","0","0"
"Home Page","Header Navigation","Header logo navigation","0","0","1","0","0"
